2020-10-14 15:19:50,559:INFO:General | Yardým | Tarafýndan : PHOENIX#0001
2020-10-14 15:50:12,480:INFO:General | Ping : 161 ms  | Tarafýndan : PHOENIX#0001
2020-10-14 16:07:22,226:INFO:General | Ping : 148 ms  | Tarafýndan : yArra#1920
2020-10-16 14:08:45,775:INFO:General | Ping : 148 ms  | Tarafýndan : PHOENIX#0001
2020-10-16 14:09:08,609:INFO:General | Bot Daveti | Tarafýndan : PHOENIX#0001
2020-10-16 14:09:31,008:INFO:General | Sunucu Daveti : Discord Bot Testing | Tarafýndan : PHOENIX#0001
2020-10-16 14:11:13,396:INFO:General | Ping : 154 ms  | Tarafýndan : PHOENIX#0001
2020-10-16 14:12:31,928:INFO:General | Ping : 150 ms  | Tarafýndan : PHOENIX#0001
2020-10-16 14:17:37,172:INFO:General | Ping : 149 ms  | Tarafýndan : PHOENIX#0001
2020-10-16 14:17:52,919:INFO:General | Sunucu Daveti : Discord Bot Testing | Tarafýndan : PHOENIX#0001
2020-10-16 14:18:53,102:INFO:General | Sunucu Daveti : Discord Bot Testing | Tarafýndan : PHOENIX#0001
2020-10-16 14:20:35,608:INFO:General | Sunucu Daveti : Discord Bot Testing | Tarafýndan : PHOENIX#0001
2020-10-16 14:22:40,984:INFO:General | Sunucu Daveti : Discord Bot Testing | Tarafýndan : PHOENIX#0001
2020-10-16 14:23:19,944:INFO:General | Sunucu Daveti : Discord Bot Testing | Tarafýndan : PHOENIX#0001
2020-10-16 14:25:53,649:INFO:General | Ping : 149 ms  | Tarafýndan : PHOENIX#0001
2020-10-16 14:26:00,925:INFO:General | Bot Daveti | Tarafýndan : PHOENIX#0001
2020-10-16 14:27:00,991:INFO:General | Ping : 149 ms  | Tarafýndan : PHOENIX#0001
2020-10-16 18:12:40,872:INFO:General | Bot Daveti | Tarafýndan : PHOENIX#0001
2020-10-16 18:12:52,003:INFO:General | Sunucu Daveti : Discord Bot Testing | Tarafýndan : PHOENIX#0001
2020-10-16 18:13:53,290:INFO:General | Bot Daveti | Tarafýndan : PHOENIX#0001
2020-10-16 18:13:53,885:INFO:General | Bot Daveti | Tarafýndan : PHOENIX#0001
2020-10-16 18:14:04,541:INFO:General | Ping : 155 ms  | Tarafýndan : PHOENIX#0001
2020-10-17 13:20:24,072:INFO:General | Ping : 150 ms  | Tarafýndan : PHOENIX#0001
2020-10-17 23:44:53,430:INFO:General | Ping : 149 ms  | Tarafýndan : PHOENIX#0001
2020-10-19 01:57:45,252:INFO:General | Yardým | Tarafýndan : PHOENIX#0001
2020-10-20 10:15:40,496:INFO:General | Yardým | Tarafýndan : PHOENIX#0001
2020-10-21 18:47:40,480:INFO:General | Ping : 190 ms  | Tarafýndan : PHOENIX#0001
2020-10-22 15:27:18,519:INFO:General | Ping : 148 ms  | Tarafýndan : PHOENIX#0001
2020-10-22 15:28:16,913:INFO:General | Ping : 163 ms  | Tarafýndan : PHOENIX#0001
2020-10-22 15:30:06,712:INFO:General | Ping : 152 ms  | Tarafýndan : PHOENIX#0001
2020-10-22 15:31:05,182:INFO:General | Ping : 152 ms  | Tarafýndan : PHOENIX#0001
2020-10-22 15:37:12,984:INFO:General | Ping : 171 ms  | Tarafýndan : PHOENIX#0001
2020-10-22 16:23:41,101:INFO:General | Yardým | Tarafýndan : PHOENIX#0001
2020-10-24 14:48:56,513:INFO:General | Yardým | Tarafýndan : PHOENIX#0001
2020-10-24 14:51:09,671:INFO:General | Yardým | Tarafýndan : PHOENIX#0001
2020-10-24 14:51:38,343:INFO:General | Bot Daveti | Tarafýndan : PHOENIX#0001
2020-10-24 15:00:55,538:INFO:General | Yardým | Tarafýndan : PHOENIX#0001
2020-10-24 15:28:54,388:INFO:General | Yardým | Tarafýndan : PHOENIX#0001
2020-10-24 15:30:39,916:INFO:General | Yardým | Tarafýndan : PHOENIX#0001
2020-10-24 15:48:40,286:INFO:General | Yardým | Tarafýndan : PHOENIX#0001
2020-10-24 15:51:02,781:INFO:General | Yardým | Tarafýndan : PHOENIX#0001
2020-10-24 16:04:44,219:INFO:General | Yardým | Tarafýndan : PHOENIX#0001
2020-10-24 16:04:48,931:INFO:General | Bot Daveti | Tarafýndan : PHOENIX#0001
2020-10-24 16:04:58,344:INFO:General | Sunucu Daveti : Discord Bot Testing | Tarafýndan : PHOENIX#0001
2020-10-24 16:06:03,301:INFO:General | Bot Daveti | Tarafýndan : PHOENIX#0001
2020-10-24 16:06:16,136:INFO:General | Sunucu Daveti : Discord Bot Testing | Tarafýndan : PHOENIX#0001
2020-10-24 16:06:18,241:INFO:General | Yardým | Tarafýndan : PHOENIX#0001
2020-10-24 16:21:26,930:INFO:General | Ping : 148 ms  | Tarafýndan : PHOENIX#0001
2020-10-24 16:29:35,210:INFO:General | Ping : 149 ms  | Tarafýndan : PHOENIX#0001
2020-10-24 16:29:41,093:INFO:General | Ping : 149 ms  | Tarafýndan : PHOENIX#0001
2020-10-24 16:31:33,892:INFO:General | Ping : 150 ms  | Tarafýndan : PHOENIX#0001
