2020-10-21 22:59:27,378:INFO:Guild | Prefix | Sunucu : Discord Bot Testing | Taraf�ndan : PHOENIX
2020-10-21 22:59:42,987:INFO:Guild | Wlmesaj | Sunucu : Discord Bot Testing | Taraf�ndan : PHOENIX
2020-10-21 22:59:57,670:INFO:Guild | Lvmesaj | Sunucu : Discord Bot Testing | Taraf�ndan : PHOENIX
2020-10-22 15:27:30,971:INFO:Guild | Lvmesaj | Sunucu : Discord Bot Testing | Taraf�ndan : PHOENIX#0001
2020-10-22 15:27:46,899:INFO:Guild | Wlmesaj | Sunucu : Discord Bot Testing | Taraf�ndan : PHOENIX#0001
2020-10-22 15:28:11,875:INFO:Guild | Prefix | Sunucu : Discord Bot Testing | Taraf�ndan : PHOENIX#0001
2020-10-22 15:29:51,005:INFO:Guild | Prefix | Sunucu : Discord Bot Testing | Taraf�ndan : PHOENIX#0001
2020-10-22 15:31:53,818:INFO:Guild | Lvmesaj | Sunucu : Discord Bot Testing | Taraf�ndan : PHOENIX#0001
2020-10-22 15:31:59,661:INFO:Guild | Wlmesaj | Sunucu : Discord Bot Testing | Taraf�ndan : PHOENIX#0001
2020-10-22 15:32:08,864:INFO:Guild | Prefix | Sunucu : Discord Bot Testing | Taraf�ndan : PHOENIX#0001
2020-10-22 15:32:30,761:INFO:Guild | Autorole | Sunucu : Discord Bot Testing | Taraf�ndan : PHOENIX#0001
2020-10-24 16:22:02,727:INFO:Guild | Prefix | Sunucu : sasa | Taraf�ndan : PHOENIX#0001
2020-10-24 16:22:13,143:INFO:Guild | Lvmesaj | Sunucu : sasa | Taraf�ndan : PHOENIX#0001
