2020-10-19 01:59:03,419:INFO:Moderation | Mesaj Silme : 2  | Tarafýndan : PHOENIX#0001
2020-10-19 01:59:27,301:INFO:Moderation | Mesaj Silme : 2  | Tarafýndan : PHOENIX#0001
2020-10-19 01:59:38,223:INFO:Moderation | Mesaj Silme : 10  | Tarafýndan : PHOENIX#0001
2020-10-19 02:01:09,986:INFO:Moderation | Mesaj Silme : 21  | Tarafýndan : PHOENIX#0001
2020-10-19 19:35:05,304:INFO:Moderation | Mesaj Silme : 30  | Tarafýndan : PHOENIX#0001
2020-10-19 19:35:12,639:INFO:Moderation | Mesaj Silme : 19  | Tarafýndan : PHOENIX#0001
2020-10-21 22:23:32,251:INFO:Moderation | Mesaj Silme : 3  | Tarafýndan : PHOENIX#0001
2020-10-22 15:37:12,775:INFO:Moderation | Yasaklama : Carl-bot#1536 Sunucu : Discord Bot Testing  | Tarafýndan : PHOENIX#0001
2020-10-24 16:10:03,861:INFO:Moderation | Mesaj Silme : 2  | Tarafýndan : PHOENIX#0001
2020-10-24 16:10:41,038:INFO:Moderation | Mesaj Silme : 2  | Tarafýndan : PHOENIX#0001
2020-10-24 16:10:48,272:INFO:Moderation | Mesaj Silme : 100  | Tarafýndan : PHOENIX#0001
2020-10-24 16:10:52,479:INFO:Moderation | Mesaj Silme : 8  | Tarafýndan : PHOENIX#0001
